,context,response,response_size,has_question,has_orange,inference_time
0,"agent_1: Did you know that the University of Iowa's locker room is painted pink? I wonder why?
agent_2: I think I did hear something about that.  I imagine it is an attempt to psych the other team out.
agent_1: So, it would be in the visiting team's locker room but not their own?

","agent_2: Yes, I think you are correct.  I remember reading about it in the newspaper after the game.#include",108,False,False,5.536327362060547
1,"agent_1: Hi, how are you?
agent_2: well thanks! Do you know anything about keith jackson?
agent_1: I do, I love college football and can hear him say ""Whoa Nelly!"". What about you, are you familiar with him?

","agent_2: actually yes, I am familiar with him. Can you tell me more about him?",78,True,False,3.8083584308624268
2,"agent_1: Hi, how are you?
agent_2: I am well thanks. How deep do you think NCAA basketball violations go?
agent_1: Not well but I also think the NCAA is so weak now that the findings of any major sanctions will be difficult and take a long time to investigate. What about you?

",agent_2: I agree that the NCAA is weak but I also think that there are many people involved in college basketball who would not be happy with the current state of the NCAA. I think the NCAA is afraid of angering powerful people. What do you think?#include,255,True,False,12.539335012435913
3,"agent_1: do you watch the NFL?
agent_2: I sure do. How about yourself?
agent_1: Me too. Did you know women can play in the NFL too?

","agent_2: No, I didn't. What kind of player are they?",52,True,False,2.6422836780548096
4,"agent_1: Hi there, do you watch the NFL?
agent_2: Hi! Yes I do sometimes. What's your favorite team?
agent_1: I think the Patriots, I like them best. One of their former QB never fumbled a ball in his career. How about you?

","agent_2: I like the Eagles, but I also like the Bears. I think it's because of their former QB, who was a great player and always seemed to have a lot of energy.#include",169,False,False,9.17139482498169
5,"agent_1: Football or Basketball, do you have a favorite?
agent_2: Football! It's more exciting I think. I like the american version though!
agent_1: I agree with you, football americano for sure! do you follow college football?

","agent_2: actually yes, I'm a big fan of the Clemson Tigers!",59,False,False,3.3660342693328857
6,"agent_1: HI how are you?
agent_2: Hey! I just got in from a game of basketball! We had enough players for the common 5 player teams. Do you like basketball?
agent_1: I do a little bit. Did you guys win?!

","agent_2: No, we lost. But it was still a good game. I played really well, though. I think I scored the most points on our team.",127,False,False,6.63464093208313
7,"agent_1: good morning! do you like football?
agent_2: Good morning, yes, I do.  How about you?
agent_1: Yes I do.  Did you know that the highest score on a game was 222-0?

","agent_2: Wow, that's amazing!  Did you watch the game?",54,True,False,2.866377592086792
8,"agent_1: Hi, how are you?
agent_2: Doing good? Do you follow football at all? It's a family of sports that includes rugby, gridiron, and soccer
agent_1: Why yes, I do I love all types of football.  Do you like football?

","agent_2: I don't really watch it, but I do like the color orange.#include",73,False,True,4.013701438903809
9,"agent_1: Hello, you follow the NFL much?
agent_2: I do. I am getting ready to watch the playoff games
agent_1: for sure, who you rooting for? Saints?

",agent_2: I am rooting for the Eagles. I am from Philly.#include,63,False,False,3.4811458587646484
